Title,Price,Rating,No. of Reviews,Width,Thickness,Weight,Height,Sales Package,model number,model name,Shape,Color,Touchscreen?,Water resistant?,Sensor,Battery Type,Charge Time,Battery Life,Warranty,Warranty Service Information,Covered in warranty,Not covered in warranty
"Boult CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking Smartwatch  (Black Strap, Free Size)","₹2,198","27,881 Ratings","1,978 Reviews",47 mm,13 mm,56.5 g,46 mm,"Smartwatch, User Manual, Charging Cable, Warranty Card",Crown R Pro,"CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking",Round,Black,Yes,Yes,"Real Heart Rate, Real SPO2, Pedometer",Lithium Polymer,150 min,Upto 7 Days,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2 Smartwatch  (Chrome Strap, Free Size)","₹1,499","2,92,730 Ratings","17,819 Reviews",37.28 mm,44.17 mm,42 g,10.75 mm,"Smartwatch, User Manual, Charging Cable, Warranty Card",Drift +,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Rectangle,Silver,Yes,Yes,"Real Heart Rate, Real SPO2, Pedometer",Lithium Ion,150 min,Upto 7 Days,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,
"Cult Velocity with Built-in Turbo Track GPS,1.4'' AMOLED Display, Compass, BT Calling Smartwatch  (Sporty Grey Strap, Free Size)","₹2,299",789 Ratings,187 Reviews,,,,,"Smartwatch, Charging Cable, User Manual, Warranty Card",CSW24,"Velocity with Built-in Turbo Track GPS,1.4'' AMOLED Display, Compass, BT Calling",Round,Grey,Yes,Yes,"SpO2, Heart Rate Sensor, Accelerometer, Barometer, Pedometer",,120 min,Upto 7 Days,Covers Manufacturing Defects,Please reach out to us at hello@cultsport.com or 1800-572-6303/1800-572-6402 for warranty claims,Manufacturing Defects,
"itel Icon 3 Single chip BT Calling, 2.01"" AMOLED, 500 Nits & 24Hr Health Monitor Smartwatch  (Dark Chrome Strap, Free Size)","₹1,499",101 Ratings,9 Reviews,37.7 mm,11.86 mm,52.1 g,47.2 mm,"Smartwatch, Charging Cable, User Manual",ISW-O31,"Icon 3 Single chip BT Calling, 2.01"" AMOLED, 500 Nits & 24Hr Health Monitor",Rectangle,Black,Yes,Yes,"Heart Rate, SpO2",,150 min,7 Days,1 Year Brand Warranty,Carry-in to Service Center,,
"Boult Rover Pro 1.43"" AMOLED, BT Calling, 1000Nits Brightness, Free Straps, SpO2, IP68 Smartwatch  (Regal Strap, Free Size)","₹1,999","21,573 Ratings","1,996 Reviews",45.3 mm,10.6 mm,43 g,26.5 mm,"Smartwatch, User Manual, Charging Cable, 3 Straps, Warranty Card",Rover Pro,"Rover Pro 1.43"" AMOLED, BT Calling, 1000Nits Brightness, Free Straps, SpO2, IP68",Round,Multicolor,Yes,Yes,"Real Heart Rate, Real SPO2, Pedometer",Lithium Polymer,120 min,Upto 7 Days,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,
"Cult Velocity with Built-in Turbo Track GPS,1.4'' AMOLED Display, Compass, BT Calling Smartwatch  (Sporty Green Strap, Free Size)","₹2,299",789 Ratings,187 Reviews,,,,,"Smartwatch, Charging Cable, User Manual, Warranty Card",CS805074,"Velocity with Built-in Turbo Track GPS,1.4'' AMOLED Display, Compass, BT Calling",Round,Green,Yes,Yes,"SpO2, Heart Rate Sensor, Accelerometer, Barometer, Pedometer",,120 min,Upto 7 Days,Covers Manufacturing Defects,Please reach out to us at hello@cultsport.com or 1800-572-6303/1800-572-6402 for warranty claims,Manufacturing Defects,
"Cultsport Active T 2.01 HD Display, Single Chip BT Calling, Rotating Crown, 200 WatchFace Smartwatch  (Blue Strap, Free Size)","₹1,399","2,679 Ratings",564 Reviews,39 mm,,55 g,10.6 mm,"Smartwatch, Charging Cable, User Manual, Warranty Card, cult.sport Voucher",CSW03,"Active T 2.01 HD Display, Single Chip BT Calling, Rotating Crown, 200 WatchFace",Square,Blue,Yes,Yes,"SPO2, Heart Rate Sensor, Accelerometer, Pedometer",Lithium Polymer,90 min,Upto 7 Days; 2-3 days with BT calling,Covers Manufacturing Defects,Please reach out to us at hello@cultsport.com or 1800-572-6303/1800-572-6402 for warranty claims,Manufacturing Defects,
"Titan Evoke with 1.43"" AMOLED Display,1000 Nits Brightness,Rotating Crown,BT Calling Smartwatch  (Black Strap, Free Size)","₹8,995",393 Ratings,22 Reviews,47.6 mm,12.3 mm,48.5 g,51.4 mm,"Smartwatch, Watch Strap, Charging Cable, Quick Start Guide, Warranty Card",90172AP01,"Evoke with 1.43"" AMOLED Display,1000 Nits Brightness,Rotating Crown,BT Calling",Round,Black,Yes,Yes,Accelerometer,Lithium Polymer,150 min,Upto 5 Days,1 Year Limited warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,
"boAt Ultima Prism with 1.96"" AMOLED Display,BT Calling,boAt Coins & Watch Face Studio Smartwatch  (Steel Black Strap, Free Size)","₹1,899","13,850 Ratings",769 Reviews,,,,,Ultima Prism::?User Manual::Warranty Card::USB Magnetic Charging Cable,Ultima Prism,"Ultima Prism with 1.96"" AMOLED Display,BT Calling,boAt Coins & Watch Face Studio",Rectangle,Black,Yes,Yes,"Heart Rate, SpO2, G-sensor",,,Upto 7 days,1 year warranty from the date of purchase,Reach out to us at : info@imaginemarketingindia.com,Manufacturing Defects,
"Noise Icon 3 1.91"" Display with Bluetooth Calling, Metallic finish & Voice Assistant Smartwatch  (Navy Blue Strap, Regular)","₹1,399","6,12,972 Ratings","40,657 Reviews",,,,,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-colorfiticon3-std-gry_blu,"Icon 3 1.91"" Display with Bluetooth Calling, Metallic finish & Voice Assistant",Rectangle,Blue,Yes,Yes,"Heart Rate, SpO2",,,7 Days,1 Year Manufacturer Warranty,Contact - help@nexxbase.com | support.gonoise.in | +91 8882132132,Manufacturing Defects,
"boAt Storm Call 2 with 4.64 cm(1.83'')HD Display,BT Calling & Watch Face Studio Smartwatch  (Metal Black Strap, Free Size)","₹1,499","26,973 Ratings","1,553 Reviews",,,,,"Smartwatch, Magnetic Charging Cable, User Manual, Warranty Card",Storm Call 2,"Storm Call 2 with 4.64 cm(1.83'')HD Display,BT Calling & Watch Face Studio",Rectangle,Black,Yes,Yes,"Heart Rate, SpO2, G Sensor",,,Upto 7 days,1 Year Warranty from the Date of Purchase,Reach out to us at : info@imaginemarketingindia.com,Manufacturing Defects,
"Cult Shock X 1.43"" AMOLED, 420mAh Battery, 850 NITS, AOD, Bluetooth calling, Rugged Smartwatch  (Black Strap, Free Size)","₹1,799","1,421 Ratings",263 Reviews,,,,,"Smartwatch, Charging Cable, User Manual, Warranty Card, cult.sport Voucher",CSW09,"Shock X 1.43"" AMOLED, 420mAh Battery, 850 NITS, AOD, Bluetooth calling, Rugged",Round,Black,Yes,Yes,"SpO2, Heart Rate Sensor, Accelerometer, Barometer, Pedometer,",,,Upto 10 Days,Covers Manufacturing Defects,Please reach out to us at hello@cultsport.com or 1800-572-6303/1800-572-6402 for warranty claims,Manufacturing Defects,
"boAt Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen Smartwatch  (Beige Strap, Free Size)","₹1,999",,,,,,,"1 Smart Watch, Charging Cable, User Manual, Warranty Card",Enigma Daze,Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen,Round,Beige,Yes,Yes,"HR, SpO2, G-sensor",,,7 Days,1 Year Warranty,"Carry-in, If Customer Any Query or Complaint Please Reach Out to Us at info@imaginemarketingindia.com or Call on +912269181920",Manufacturing Defects,
"Boult CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking Smartwatch  (Silver Strap, Free Size)","₹2,399","27,881 Ratings","1,978 Reviews",47 mm,13 mm,56.5 g,46 mm,"Smartwatch, User Manual, Charging Cable, Warranty Card",Crown R Pro,"CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking",Round,Silver,Yes,Yes,"Real Heart Rate, Real SPO2, Pedometer",Lithium Polymer,150 min,Upto 7 Days,1 Year Warranty from the Date of Purchase,Contact : Ph : Ph : +919555602502 / Mail : support@boultaudio.com,Any Kind of Technical Issue,
"alt OG Max with 1.8InchHD Display, BT Calling and AI Voice assistant Smartwatch  (Lunar Black Strap, Regular)",₹999,"23,227 Ratings","1,833 Reviews",,,,,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw_alt-ogmax-std-blk_blk,"OG Max with 1.8InchHD Display, BT Calling and AI Voice assistant",Square,Black,Yes,Yes,"Accelerometer, Heart Rate, SpO2",,,7 Days,1 Year Manufacturer Warranty,Contact- help@alt-smart.com | alt-smart.com | 01243633987,Manufacturing Defects,
"boAt Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen Smartwatch  (Metallic Black Strap, Free Size)","₹1,999",,,,,,,"1 Smart Watch, Charging Cable, User Manual, Warranty Card",Enigma Daze,Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen,Round,Black,Yes,Yes,"HR, SpO2, G-sensor",,,7 Days,1 Year Warranty,"Carry-in, If Customer Any Query or Complaint Please Reach Out to Us at info@imaginemarketingindia.com or Call on +912269181920",Manufacturing Defects,
"Noise Caliber Go 1.69"" HD Display with 30 Sports Modes, 150+ Watch Faces Smartwatch  (Green Strap, Regular)","₹1,199","81,813 Ratings","5,024 Reviews",,,,,"Smartwatch, Charging Cable, User Manual, Thank You Card",wrb-sw-colorfitcalibergo-std-grn_grn,"Caliber Go 1.69"" HD Display with 30 Sports Modes, 150+ Watch Faces",Square,Green,Yes,Yes,Hear Rate,,,10 Days,1 Year Manufacturer Warranty,Contact - help@nexxbase.com | support.gonoise.in | +91 8882132132,Manufacturing Defects,
,,,,,,,,,,,,,,,,,,,,,,
"Fastrack Revoltt FR2 Pro,36.3 mm AMOLED Display,AOD,Metal Design,Working Crown,BT Calling Smartwatch  (Gun Strap, Free Size)","₹3,499","1,621 Ratings",106 Reviews,,,117 g,,"1 Smart Watch, Charging Cable, User Manual, Warranty Card",38156QM01,"Revoltt FR2 Pro,36.3 mm AMOLED Display,AOD,Metal Design,Working Crown,BT Calling",Round,Grey,Yes,Yes,Accelerometer,Lithium Polymer,120 min,5 Day,1 Year Warranty,Carry-in,Manufacturing Defects,
"Boult CrownR Bluetooth Calling, 1.52'' HD Screen, Zero Bezels, Zinc Alloy Frame, IP67 Smartwatch  (Bullet Silver Strap, Free Size)","₹1,999","10,192 Ratings",706 Reviews,47 mm,12 mm,59 g,300 mm,"User Manual, Smartwatch, Charging Cable,Warranty Card, strap adjustment tool",Crown R,"CrownR Bluetooth Calling, 1.52'' HD Screen, Zero Bezels, Zinc Alloy Frame, IP67",Round,Silver,Yes,Yes,"Real Heart rate, SPO2, Pedometer",Lithium Polymer,150 min,Upto 7 Days,1 Year Warranty from the date of purchase,Repair or Replace,Any kind of technical issue,
"Cult Ace X1 2.04"" Amoled Display,1000 NITS, Bluetooth Calling, 300mAh Battery, AOD Smartwatch  (Black Strap, Free Size)","₹2,499","1,931 Ratings",286 Reviews,,,,,"Smartwatch, Charging Cable, User Manual, Warranty Card, cult.sport Voucher",CSW08,"Ace X1 2.04"" Amoled Display,1000 NITS, Bluetooth Calling, 300mAh Battery, AOD",Rectangle,Black,Yes,Yes,"SpO2, Heart Rate Sensor, Accelerometer, Barometer, Pedometer,",,120 min,Upto 7 Days,Covers Manufacturing Defects,Please reach out to us at hello@cultsport.com or 1800-572-6303/1800-572-6402 for warranty claims,Manufacturing Defects,
"Cult Active TR 1.52""HD Display,Stainless Steel Build,Wireless Charging, BT Calling Smartwatch  (Silver Strap, Free Size)","₹1,999","1,573 Ratings",160 Reviews,,,,,"Smartwatch, Charging Cable, User Manual, Warranty Card, cult.sport Voucher",CSW10,"Active TR 1.52""HD Display,Stainless Steel Build,Wireless Charging, BT Calling",Round,Silver,Yes,Yes,"SpO2, Heart Rate Sensor, Accelerometer, Barometer, Pedometer",,120 min,Upto 7 Days,Covers Manufacturing Defects,Please reach out to us at hello@cultsport.com or 1800-572-6303/1800-572-6402 for warranty claims,Manufacturing Defects,
"alt Hunk, 1.96"", BT Calling, 200 Watchfaces,120 Sports modes, 500 nits, Rugged Metal Smartwatch  (Smoky Grey Strap, Free Size)",₹999,"2,351 Ratings",150 Reviews,44.6 mm,,50 g,10.5 mm,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw_alt-hunk-std-gmtl_dgry,"Hunk, 1.96"", BT Calling, 200 Watchfaces,120 Sports modes, 500 nits, Rugged Metal",Square,Grey,Yes,Yes,"Accelerometer, Heart Rate, SpO2",Lithium Ion,120 min,Upto 7 Days,1 Year Manufacturer Warranty,Contact- help@alt-smart.com | alt-smart.com | 01243633987,Manufacturing Defects,
"Noise Thrive 1.85'' Display with Bluetooth Calling, Music Playback & Voice Assistance Smartwatch  (Pink Strap, Regular)","₹1,399","43,181 Ratings","2,243 Reviews",,,,,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-colorfitthrive-std-rgld_pnk,"Thrive 1.85'' Display with Bluetooth Calling, Music Playback & Voice Assistance",Square,Pink,Yes,Yes,"Heart Rate, SpO2, Accelerometer",,,Upto 7 Days,1 Year Warranty from the date of purchase,Contact - help@nexxbase.com | support.gonoise.in | +91 8882132132,Warranty is applicable on manufacturing defects for all the products for 1 Year and accessories (If any) for 3 months from the date of purchase.,
"boAt Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen Smartwatch  (Metallic Silver Strap, Free Size)","₹1,999",,,,,,,"1 Smart Watch, Charging Cable, User Manual, Warranty Card",Enigma Daze,Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen,Round,Silver,Yes,Yes,"HR, SpO2, G-sensor",,,7 Days,1 Year Warranty,"Carry-in, If Customer Any Query or Complaint Please Reach Out to Us at info@imaginemarketingindia.com or Call on +912269181920",Manufacturing Defects,
"IAIR W5 Pro | 1.9Inch Super AMOLED DIsplay | Bluetooth Calling | Multi Sport Mode | Smartwatch  (Nature Black Strap, Standard)",₹748,78 Ratings,21 Reviews,,,,,"1 Smartwatch, 1 Charging cable, 1 User Manual",W5 Pro,W5 Pro | 1.9Inch Super AMOLED DIsplay | Bluetooth Calling | Multi Sport Mode |,Square,"Black, Multicolor",Yes,Yes,Gesture Sensor,Lithium Polymer,60 min,3-4 days,,,,
"Boult CrownR Bluetooth Calling, 1.52'' HD Screen, Zero Bezels, Zinc Alloy Frame, IP67 Smartwatch  (Coal Black Strap, Free Size)","₹1,999","10,192 Ratings",706 Reviews,47 mm,12 mm,59 g,300 mm,"User Manual, Smartwatch, Charging Cable,Warranty Card, strap adjustment tool",Crown R,"CrownR Bluetooth Calling, 1.52'' HD Screen, Zero Bezels, Zinc Alloy Frame, IP67",Round,Black,Yes,Yes,"Real Heart rate, SPO2, Pedometer",Lithium Polymer,150 min,Upto 7 Days,1 Year Warranty from the date of purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any kind of technical issue,
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch  (Silver Strap, Free Size)","₹1,599","95,233 Ratings","7,301 Reviews",,,,6 mm,"User Manual, Smartwatch, Charging Cable,Warranty Card",Crown,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Square,Silver,Yes,Yes,"Real Heart rate, SPO2, Pedometer",Lithium Polymer,150 min,Upto 5 Days,1 Year Warranty from the date of purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any kind of technical issue,
"Noise Caliber 2 Buzz 1.85'' Display with Bluetooth Calling, Long Battery & IP68 Rating Smartwatch  (Black Strap, Regular)","₹1,098","37,897 Ratings","2,525 Reviews",,,,,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-colorfitcaliber2buzz-std-blk_blk,"Caliber 2 Buzz 1.85'' Display with Bluetooth Calling, Long Battery & IP68 Rating",Square,Black,Yes,Yes,"Heart Rate, SpO2, Gesture, Pedometer",,,Upto 10 Days,1 Year Manufacturer Warranty,Contact - help@nexxbase.com | support.gonoise.in | +91 8882132132,Manufacturing Defects,
"Fastrack Optimus 2 Pro,36.3mm AMOLED Display,AOD,Metal Case,Working Crown,BT Calling,SOS Smartwatch  (Grey Strap, Free Size)","₹2,298","24,855 Ratings","1,565 Reviews",52 mm,11.5 mm,52 g,46 mm,"Smartwatch, Charging Cable, Quick Start Guide",38153SP01,"Optimus 2 Pro,36.3mm AMOLED Display,AOD,Metal Case,Working Crown,BT Calling,SOS",Round,Grey,Yes,Yes,Heart Rate & SpO2,Lithium Polymer,120 min,Upto 5 Days,1 Year Limited warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch  (Black Strap, Free Size)","₹1,399","95,233 Ratings","7,301 Reviews",,,,6 mm,"User Manual, Smartwatch, Charging Cable,Warranty Card",Crown,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Square,Black,Yes,Yes,"Real Heart rate, SPO2, Pedometer",Lithium Polymer,150 min,Upto 5 Days,1 Year Warranty from the date of purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any kind of technical issue,
"Noise Crew Go with 1.39"" Display, BT Calling with Metal Strap and 7 Days Battery Life Smartwatch  (Silver Link Strap, Regular)","₹1,599","6,357 Ratings",439 Reviews,,,,,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-crewgo-meshmtl-slvr_slvr,"Crew Go with 1.39"" Display, BT Calling with Metal Strap and 7 Days Battery Life",Round,Silver,Yes,Yes,"Heart Rate, Accelerometer",,,Up to 7 Days,1 Year Warranty from the date of purchase,Contact - help@nexxbase.com | support.gonoise.com | 02268056040,Warranty is applicable on manufacturing defects for all the products for 1 Year and accessories (If any) for 3 months from the date of purchase.,
"Noise Loop 1.85'' Display with Advanced Bluetooth Calling, 550 Nits Brightness Smartwatch  (Blue Strap, Regular)","₹1,299","60,519 Ratings","3,459 Reviews",,,,,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-colorfitloop-std-blu_blu,"Loop 1.85'' Display with Advanced Bluetooth Calling, 550 Nits Brightness",Square,Blue,Yes,Yes,"Accelerometer , Heart Rate",,,7 Days,1 Year Manufacturer Warranty,Contact - productfeedback@nexxbase.com | support.gonoise.com | +91 8882132132,Manufacturing Defects,
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch  (Orange Strap, Free Size)","₹1,399","95,233 Ratings","7,301 Reviews",,,,6 mm,"User Manual, Smartwatch, Charging Cable,Warranty Card",Crown,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Square,Orange,Yes,Yes,"Real Heart rate, SPO2, Pedometer",Lithium Polymer,150 min,Upto 5 Days,1 Year Warranty from the date of purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any kind of technical issue,
"Fire-Boltt Hunter 51.1mm (2.01) HD Display Buetooth Calling with Single Chipset, Metal Body Smartwatch  (Black Strap, Free Size)","₹1,399","3,60,129 Ratings","46,957 Reviews",39 mm,9.8 mm,36.8 g,9.8 mm,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW127,"Hunter 51.1mm (2.01) HD Display Buetooth Calling with Single Chipset, Metal Body",Square,Black,Yes,Yes,"Bluetooth Calling, SpO2, Heart Rate Sensor HRS3600, Accelerometer 3-Axis Sens, Barometer, Pedometer SC7A20",Lithium Ion,180 min,Upto 5 Days,Covers Manufacturing Defects,Contact infocare,Manufacturing Defects,
"Noise Caliber 2 Buzz 1.85'' Display with Bluetooth Calling, Long Battery & IP68 Rating Smartwatch  (Purple Strap, Regular)","₹1,098","37,897 Ratings","2,525 Reviews",,,,,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-colorfitcaliber2buzz-std-mve_mve,"Caliber 2 Buzz 1.85'' Display with Bluetooth Calling, Long Battery & IP68 Rating",Square,Purple,Yes,Yes,"Heart Rate, SpO2, Gesture, Pedometer",,,Upto 10 Days,,,Manufacturing Defects,
"Boult CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking Smartwatch  (Black Strap, Free Size)","₹2,198","27,881 Ratings","1,978 Reviews",47 mm,13 mm,56.5 g,46 mm,"Smartwatch, User Manual, Charging Cable, Warranty Card",Crown R Pro,"CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking",Round,Black,Yes,Yes,"Real Heart Rate, Real SPO2, Pedometer",Lithium Polymer,150 min,Upto 7 Days,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,
"Titan Evoke with 1.43"" AMOLED Display,1000 Nits Brightness,Rotating Crown,BT Calling Smartwatch  (Black Strap, Free Size)","₹8,995",393 Ratings,22 Reviews,47.6 mm,12.3 mm,48.5 g,51.4 mm,"Smartwatch, Watch Strap, Charging Cable, Quick Start Guide, Warranty Card",90172AP01,"Evoke with 1.43"" AMOLED Display,1000 Nits Brightness,Rotating Crown,BT Calling",Round,Black,Yes,Yes,Accelerometer,Lithium Polymer,150 min,Upto 5 Days,1 Year Limited warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,
"boAt Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen Smartwatch  (Beige Strap, Free Size)","₹1,999",,,,,,,"1 Smart Watch, Charging Cable, User Manual, Warranty Card",Enigma Daze,Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen,Round,Beige,Yes,Yes,"HR, SpO2, G-sensor",,,7 Days,1 Year Warranty,"Carry-in, If Customer Any Query or Complaint Please Reach Out to Us at info@imaginemarketingindia.com or Call on +912269181920",Manufacturing Defects,
"Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metallic Finish, BT Calling Smartwatch  (Midnight Gold Strap, Regular)","₹1,998","6,59,064 Ratings","37,771 Reviews",,,,,1 smartwatch,wrb-sw-colorfiticon4-std-gld_blk,"Icon 4 with Stunning 1.96'' AMOLED Display, Metallic Finish, BT Calling",Rectangle,Black,Yes,Yes,"Heart Rate, SpO2",,,Upto 7 days,1 Year Manufacturer Warranty,Contact - help@nexxbase.com | support.gonoise.in | +91 8882132132,Manufacturing Defects,
"Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metallic Finish, BT Calling Smartwatch  (Forest Green Strap, Regular)","₹1,998","6,59,064 Ratings","37,771 Reviews",,,,,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-colorfiticon4-std-gld_grn,"Icon 4 with Stunning 1.96'' AMOLED Display, Metallic Finish, BT Calling",Rectangle,Green,Yes,Yes,"Heart Rate, SpO2",,,Upto 7 days,1 Year Manufacturer Warranty,Contact - help@nexxbase.com | support.gonoise.in | +91 8882132132,Manufacturing Defects,
"Boult Trail 2.01"" 3D Curved HD Display, Working Crown, 190+ Watch Faces, Health Track Smartwatch  (Metal Blue Strap, Free Size)","₹1,298","16,080 Ratings","1,492 Reviews",38.1 mm,12.9 mm,49.5 g,48.1 mm,"Smartwatch, Charging Cable, Warranty Card, User Manual",Trail,"Trail 2.01"" 3D Curved HD Display, Working Crown, 190+ Watch Faces, Health Track",Square,Blue,Yes,Yes,"Real Heart Rate, SPO2, Pedometer",Lithium Polymer,150 min,Upto 7 Days,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,
"PunnkFunnk T800 ultra Series 8 smart watch with AI assistant, bluetooth calling and fitness Smartwatch  (Grey Strap, 2 Inch Large Sunlight Proof Display)",₹699,"3,224 Ratings",99 Reviews,,,,,1,Fl_ T800 Grey-FG,"T800 ultra Series 8 smart watch with AI assistant, bluetooth calling and fitness",Rectangle,Grey,Yes,Yes,Fitness Health sports tracker,Lithium Polymer,100 min,2 Days Max after all things used but Normal 5 Days Battery run Proper,3 month warranty,NA,Manufacturing Defects,
"Boult CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking Smartwatch  (Chrome Rig Strap, Free Size)","₹2,399","27,881 Ratings","1,978 Reviews",,,,,"Smartwatch, Charging Cable, User Manual, Warranty Card",Crown R Pro,"CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking",Round,Black,Yes,Yes,"Real Heart Rate, Real SPO2, Pedometer",Lithium Polymer,,Upto 7 Days,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,
"Boult Crown Pro 2.01"" AMOLED, BT Calling, Working Crown, AOD, Zinc Alloy Frame, SpO2 Smartwatch  (Midnight Black Strap, Free Size)","₹1,799",438 Ratings,49 Reviews,38.7 mm,46.2 mm,40 g,11.5 mm,"Smartwatch, Charging Cable, User Manual, Warranty Card",Crown Pro,"Crown Pro 2.01"" AMOLED, BT Calling, Working Crown, AOD, Zinc Alloy Frame, SpO2",Square,Black,Yes,Yes,"Real Heart Rate, SPO2, Pedometer",Lithium Polymer,150 min,Upto 5 Days,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,
"boAt Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen Smartwatch  (Metallic Black Strap, Free Size)","₹1,999",,,,,,,"1 Smart Watch, Charging Cable, User Manual, Warranty Card",Enigma Daze,Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen,Round,Black,Yes,Yes,"HR, SpO2, G-sensor",,,7 Days,1 Year Warranty,"Carry-in, If Customer Any Query or Complaint Please Reach Out to Us at info@imaginemarketingindia.com or Call on +912269181920",Manufacturing Defects,
"Cultsport Ace XR 1.43"" Super Retina Amoled Display, 850 NITS, BT Calling, Health Tracking Smartwatch  (Green Strap, Free Size)","₹2,299",515 Ratings,45 Reviews,,,,,"Smartwatch, Charging Cable, User Manual, Warranty Card, cult.sport Voucher",CSW07,"Ace XR 1.43"" Super Retina Amoled Display, 850 NITS, BT Calling, Health Tracking",Round,Green,Yes,Yes,"SpO2, Heart Rate Sensor, Accelerometer, Barometer, Pedometer,",,120 min,Upto 7 Days,Covers Manufacturing Defects,Please reach out to us at hello@cultsport.com or 1800-572-6303/1800-572-6402 for warranty claims,Manufacturing Defects,
"Boult Mirage 1.39"" Screen, BT Calling, Working Crown, Zinc Alloy Frame, 500 Nits, SpO2 Smartwatch  (Inox Steel Strap, Free Size)","₹1,799","10,123 Ratings",624 Reviews,46 mm,11.9 mm,106 g,286 mm,"Smartwatch, Charging Cable, Warranty Card, Strap Adjusting Tool, User Manual",Mirage,"Mirage 1.39"" Screen, BT Calling, Working Crown, Zinc Alloy Frame, 500 Nits, SpO2",Round,Silver,Yes,Yes,"Real Heart Rate, SPO2, Pedometer",Lithium Polymer,120 min,Upto 7 Days,1 Year Warranty from the Date of Purchase,Repair or Replace,Any kind of Technical Issue,
